anc_id,dc_oanc_link,anc_homepage_link,centroid_lon,centroid_lat,area,neighborhoods,twitter_link,notes
1A,https://anc.dc.gov/page/advisory-neighborhood-commission-1a,http://anc1a.org/,-77.028321,38.9316174,1663396,Columbia Heights North - Park View,https://twitter.com/ANC1A,
1B,https://anc.dc.gov/page/advisory-neighborhood-commission-1b-00,https://www.anc1b.org/,-77.024196,38.9210685,2671198,U Street - Columbia Heights South,https://twitter.com/ANC1B,
1C,https://anc.dc.gov/page/advisory-neighborhood-commission-1c,https://anc1c.org/,-77.042845,38.9219283,1285112,Adams Morgan,https://twitter.com/AdamsMorganANC,
1D,https://anc.dc.gov/page/advisory-neighborhood-commission-1d,http://anc1d.org/,-77.041738,38.9322775,947592,Mount Pleasant,,
2A,https://anc.dc.gov/page/advisory-neighborhood-commission-2a,https://www.anc2a.org/,-77.047711,38.8896475,7065358,Foggy Bottom - West End,https://twitter.com/ANC2A,
2B,https://anc.dc.gov/page/advisory-neighborhood-commission-2b,http://www.dupontcircleanc.net/,-77.040648,38.9084618,2160620,Dupont Circle,https://twitter.com/ANC2B/,
2C,https://anc.dc.gov/page/advisory-neighborhood-commission-2c,https://www.anc2c.us/,-77.023073,38.8943351,2861750,Downtown - Penn Quarter,,
2D,https://anc.dc.gov/page/advisory-neighborhood-commission-2d,http://anc2d.org/,-77.051996,38.915659,801773,Sheridan-Kalorama,,
2E,https://anc.dc.gov/page/advisory-neighborhood-commission-2e,https://www.anc2e.com/,-77.066262,38.9080473,4256525,Georgetown - Burleith,https://twitter.com/ANC2E_DC,
2F,https://anc.dc.gov/page/advisory-neighborhood-commission-2f,https://www.anc2f.org/,-77.029467,38.9073509,1186298,Logan Circle,https://twitter.com/ANC2F,
3B,https://anc.dc.gov/page/advisory-neighborhood-commission-3b,https://anc3b.org/,-77.077112,38.9229197,1406297,Glover Park - Cathedral Heights,https://twitter.com/ANC3B,
3C,https://anc.dc.gov/page/advisory-neighborhood-commission-3c,https://anc3c.org/,-77.062773,38.9297748,5293734,Cleveland - Woodley,https://twitter.com/ANC3C,
3D,https://anc.dc.gov/page/advisory-neighborhood-commission-3d,https://www.anc3d.org/,-77.095783,38.9263045,10927377,West Corner - Palisades,,
3E,https://anc.dc.gov/page/advisory-neighborhood-commission-3e,https://anc3e.org/,-77.085052,38.9508606,3755326,AU Park - Tenleytown - Friendship Heights,https://twitter.com/TenleyANC,
3F,https://anc.dc.gov/page/advisory-neighborhood-commission-3f,https://anc3f.com/,-77.059154,38.9494051,5524185,Forest Hills,https://twitter.com/ANC3F,
3G,https://anc.dc.gov/page/advisory-neighborhood-commission-3g,https://anc3g.org/,-77.058803,38.9700617,6954771,Chevy Chase North,https://twitter.com/anc34g,"Also known as ""3/4G"" because the ANC is split across both wards. Four SMDs are in Ward 4 and three SMDs are in Ward 3"
4A,https://anc.dc.gov/page/advisory-neighborhood-commission-4a,http://anc4a.org/,-77.038313,38.967208,7739229,North Corner - 16th Street Corridor,https://twitter.com/ANC4A,
4B,https://anc.dc.gov/page/advisory-neighborhood-commission-4b,https://anc4b.com/,-77.014837,38.9658938,5035082,Manor Park - Riggs Park - Takoma,,
4C,https://anc.dc.gov/page/advisory-neighborhood-commission-4c,http://anc4c.org/,-77.027185,38.9452234,3139132,16th Street Heights - Petworth South,https://twitter.com/ANC4C,
4D,https://anc.dc.gov/page/advisory-neighborhood-commission-4d,http://anc4d.org/,-77.018249,38.9516841,1859711,Petworth North,,
5A,https://anc.dc.gov/page/advisory-neighborhood-commission-5a,https://anc5a.org/,-77.001027,38.9435373,5823068,Fort Totten - Michigan Park,https://twitter.com/ANC5A,
5B,https://anc.dc.gov/page/advisory-neighborhood-commission-5b,,-76.984449,38.9355406,3872120,Brookland,,
5C,https://anc.dc.gov/page/advisory-neighborhood-commission-5c,https://www.anc-5c.com/,-76.969874,38.9198451,9763949,Gateway,,
5D,https://anc.dc.gov/page/advisory-neighborhood-commission-5d,http://www.anc5d.org/,-76.98086,38.9055709,3486095,Starburst,https://twitter.com/anc5d,
5E,https://anc.dc.gov/page/advisory-neighborhood-commission-5e,https://anc5edc.blogspot.com/,-77.006092,38.9202191,3965903,Edgewood - Truxton,https://twitter.com/ANC5E,
6A,https://anc.dc.gov/page/advisory-neighborhood-commission-6a,https://anc6a.org/,-76.98638,38.8955302,2113285,Capitol Hill Northeast,https://twitter.com/ANC6A,
6B,https://anc.dc.gov/page/advisory-neighborhood-commission-6b,https://www.anc6b.org/,-76.990758,38.8829347,4055008,Capitol Hill South,,
6C,https://anc.dc.gov/page/advisory-neighborhood-commission-6c,https://anc6c.org/,-77.00337,38.8981888,2663322,Capitol Hill Northwest,,
6D,https://anc.dc.gov/page/advisory-neighborhood-commission-6d,https://www.anc6d.org/,-77.020198,38.8720994,9865356,Southwest - Navy Yard,https://twitter.com/ANC6D,
6E,https://anc.dc.gov/page/advisory-neighborhood-commission-6e,http://anc6e.org/,-77.017643,38.9065653,1529511,Greater Shaw,https://twitter.com/ANC6E/,
7B,https://anc.dc.gov/page/advisory-neighborhood-commission-7b,http://anc7b.com/,-76.960637,38.8700756,5985986,Southeast Pennsylvania Heights,https://twitter.com/ANC7B_DC,
7C,https://anc.dc.gov/page/advisory-neighborhood-commission-7c,http://anc7c.org/,-76.926199,38.8977305,3390898,Deanwood - East Corner,,
7D,https://anc.dc.gov/page/advisory-neighborhood-commission-7d,https://7d0761.wixsite.com/anc7d-1,-76.951694,38.9015152,6123920,Mayfair - Kenilworth,,
7E,https://anc.dc.gov/page/advisory-neighborhood-commission-7e,https://anc7e.us/,-76.934165,38.8800706,3278364,Marshall Heights,https://twitter.com/ANC7E,
7F,https://anc.dc.gov/page/advisory-neighborhood-commission-7f,https://anc7f.com/,-76.95232,38.88663,4039022,Benning - Fort Dupont,https://twitter.com/ANC7F,
8A,https://anc.dc.gov/page/advisory-neighborhood-commission-8a,,-76.985443,38.8667215,3749562,Anacostia - Fairlawn,,
8B,https://anc.dc.gov/page/advisory-neighborhood-commission-8b,,-76.974691,38.8540788,2389416,Skyland - Fort Stanton,https://twitter.com/ANC_8B,
8C,https://anc.dc.gov/page/advisory-neighborhood-commission-8c,,-77.00758,38.8491671,9239755,Congress Heights - Barry Farm,https://twitter.com/ANC8C,
8D,https://anc.dc.gov/page/advisory-neighborhood-commission-8d,,-77.023683,38.8225431,12421209,Bellevue - South Corner,,
8E,https://anc.dc.gov/page/advisory-neighborhood-commission-8e,,-76.985789,38.8415293,3165933,Washington Highlands,,
